College code,College Name,District ID
2625,The Kavery Engineering College,2
2748,Surya Engineering College,17
2624,Gnanamani College of Technology,9
5536,Mangayarkarasi College of Engineering,32
2623,Mahendra College of Engineering,2
2628,Paavai College of Engineering,9
2621,Er. Perumal Manimekalai College of Engineering,21
2601,Adhiyamaan  College of Engineering (Autonomous),21
5904,K L N College of Engineering (Autonomous),15
3425,C K College of Engineering and Technology,31
1605,Idhaya Engineering College for Women,8
2328,K S R Institute for Engineering and Technology,9
1301,Mohamed Sathak A J College of Engineering,29
3852,Sri Bharathi Engineering College for Women,13
3410,Krishnaswamy Collge of Engineering and Technology,31
3016,University College of Engineering,12
3795,SRM TRP Engineering College,24
2630,Chettinad College of Engineering and Technology,39
3843,M R K Institute of Technology,31
2617,Sengunthar Engineering College  (Autonomous),9
2726,S N S College of Technology (Autonomous),14
2747,Shree Venkateshwara Hi-Tech Engineering College,17
2314,Muthayammal College of Engineering,9
3456,K S K College of Engineering and Technology,4
4996,Sri Vidhya College of Engineering and Technology,30
3760,Sir Issac Newton College of Engineering and Technology,23
3831,Indra Ganesan College of Engineering,24
3021,University College of Engineering,4
2752,Nandha College of Technology,17
3018,University College of Engineering,23
1525,Podhigai College of Engineering and Technology,3
4957,Jayaraj Annapackiam CSI College of Engineering,26
2634,Excel Engineering College (Autonomous),9
1309,Meenakshi Sundararajan Engineering College,10
2632,Mahendra Institute of Technology (Autonomous),9
1434,Surya Group of Institutions,6
1409,Karpagavinayaga College of Engineering and Technology,29
1401,Adhiparasakthi Engineering College,29
2357,V S B College of Engineering Technical Campus,14
3701,K Ramakrishnan College of Technology (Autonomous),24
5914,SOLAIMALAI COLLEGE OF ENGINEERIG,32
2741,P A College of Engineering and Technology (Autonomous),14
2745,Kathir College of Engineering,14
3807,J J College of Engineering and Technology,24
4024,University V.O.C. College of Engineering,26
1436,A R Engineering College,6
2708,Hindusthan College of Engineering and Technology (Autonomous),14
3918,Shanmuganathan Engineering College,13
2627,Selvam College of Technology,9
4669,Thamirabharani Engineering College,16
4678,Ramco Institute of Technology,30
1237,Velammal Institute of Technology,1
2772,C M S College of Engineering and Technology,14
2763,Akshaya College of Engineering and Technology,14
1115,Sri Ram Engineering College,1
5,Annamalai University Faculty of Engineering and Technology,31
1116,Sri Venkateswara College of Engineering and Technology,1
3829,M.A.M. College of Engineering and Technology,24
2736,Dr. N G P Institute of Technology,14
1210,Panimalar Engineering College (Autonomous),10
4953,CAPE Institute of Technology,16
2755,Nehru Institute of Technology,14
2750,Kalaignar Karunanidhi Institute of Technology (Autonomous),14
3819,Saranathan College of  Engineering,24
2327,N S N College of Engineering and Technology,39
1422,SRM Valliammai Engineering College (Autonomous),10
2656,Builders engineering college,22
4980,Einstein College of Engineering,16
1124,SAMS College of Engineering and Technology,1
1015,University College of Engineering,18
4934,Holy Cross Engineering College,26
2723,Velalar College of Engineering and Technology (Autonomous),17
4960,Mepco Schlenk Engineering College (Autonomous),30
2706,Dr. Mahalingam College of  Engineering and Technology (Autonomous),14
2751,KGISL Institute of Technology,14
2608,M Kumarasamy College of Engineering (Autonomous),39
1324,Sri Sai Ram Institute of Technology (Autonomous),10
4023,University College of Engineering,11
3826,Kongunadu College of Engineering and Technology (Autonomous),24
5911,P T R College of Engineering and Technology,32
3830,K Ramakrishnan College of Engineering (Autonomous),24
5910,P S N A Colllege of Engineering and Technology,28
3782,OASYS Institute of Technology,24
2719,Sri Ramakrishna Engineering College (Autonomous),14
2704,Coimbatore Institute of Engineering and Technolgoy (Autonomous),14
